,1.0,2.0,3.0,4.0,5.0,6.0,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.225,0.04285714285714285,0.09
recall,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.225,0.10714285714285715,0.225
f1-score,0.0,0.0,0.0,0.0,0.3673469387755102,0.0,0.225,0.06122448979591837,0.1285714285714286
support,13.0,23.0,7.0,5.0,28.0,4.0,0.225,80.0,80.0
