,1.0,2.0,3.0,4.0,5.0,6.0,accuracy,macro avg,weighted avg
precision,1.0,0.8518518518518519,1.0,1.0,0.875,0.0,0.9,0.7878086419753086,0.8636574074074075
recall,0.6923076923076923,1.0,1.0,1.0,1.0,0.0,0.9,0.782051282051282,0.9
f1-score,0.8181818181818182,0.92,1.0,1.0,0.9333333333333333,0.0,0.9,0.7785858585858586,0.8741212121212122
support,13.0,23.0,7.0,5.0,28.0,4.0,0.9,80.0,80.0
